service_level,approach,echelon,total_safety_stock,total_holding_cost,n_nodes
0.9,Classical,1,740122.3087215759,3700.6115436078794,3
0.9,Classical,2,523345.5034044697,5233.455034044697,3
0.9,Classical,3,4335947.725356572,86718.95450713145,448
0.9,Classical,Total,5599415.537482617,95653.02108478402,454
0.9,ML-Enhanced,1,441726.6744738494,2208.6333723692474,3
0.9,ML-Enhanced,2,312347.92695144156,3123.4792695144156,3
0.9,ML-Enhanced,3,2942392.07898714,58847.841579742795,448
0.9,ML-Enhanced,Total,3696466.6804124312,64179.95422162647,454
0.95,Classical,1,949688.921877529,4748.444609387645,3
0.95,Classical,2,671531.4766773422,6715.314766773421,3
0.95,Classical,3,5563677.073487958,111273.54146975915,448
0.95,Classical,Total,7184897.472042828,122737.30084592022,454
0.95,ML-Enhanced,1,566802.1681041203,2834.0108405206015,3
0.95,ML-Enhanced,2,400789.65665766096,4007.8965665766095,3
0.95,ML-Enhanced,3,3775534.2979203165,75510.68595840633,448
0.95,ML-Enhanced,Total,4743126.122682098,82352.59336550353,454
0.98,Classical,1,1185812.1857364406,5929.060928682203,3
0.98,Classical,2,838495.8377478787,8384.958377478788,3
0.98,Classical,3,6946986.449206239,138939.72898412478,448
0.98,Classical,Total,8971294.472690558,153253.74829028576,454
0.98,ML-Enhanced,1,707727.4488059958,3538.6372440299792,3
0.98,ML-Enhanced,2,500438.8782825747,5004.3887828257475,3
0.98,ML-Enhanced,3,4714253.767737586,94285.07535475172,448
0.98,ML-Enhanced,Total,5922420.094826156,102828.10138160746,454
0.99,Classical,1,1342842.81598002,6714.214079900099,3
0.99,Classical,2,949533.2612471113,9495.332612471111,3
0.99,Classical,3,7866937.916676588,157338.7583335318,448
0.99,Classical,Total,10159313.993903719,173548.30502590298,454
0.99,ML-Enhanced,1,801447.9288815708,4007.239644407854,3
0.99,ML-Enhanced,2,566709.2652800726,5667.092652800726,3
0.99,ML-Enhanced,3,5338536.64253049,106770.73285060981,448
0.99,ML-Enhanced,Total,6706693.836692134,116445.06514781837,454
