parameter,multiplier,value,total_safety_stock,total_holding_cost
L_external,0.5,1,4743126.122682098,82352.59336550353
L_external,0.75,2,4743126.122682098,82352.59336550353
L_external,1.0,2,4743126.122682098,82352.59336550353
L_external,1.25,2,4743126.122682098,82352.59336550353
L_external,1.5,3,4743126.122682098,82352.59336550353
L_dc,0.5,1,4342336.466024437,81178.70763944753
L_dc,0.75,2,4743126.122682098,82352.59336550353
L_dc,1.0,2,4743126.122682098,82352.59336550353
L_dc,1.25,2,4743126.122682098,82352.59336550353
L_dc,1.5,3,4870512.003057132,82989.52276737872
L_warehouse,0.5,1,4743126.122682098,82352.59336550353
L_warehouse,0.75,1,4743126.122682098,82352.59336550353
L_warehouse,1.0,1,4743126.122682098,82352.59336550353
L_warehouse,1.25,1,4743126.122682098,82352.59336550353
L_warehouse,1.5,2,4577113.611235638,83526.47909155954
L_store,0.5,1,4743126.122682098,82352.59336550353
L_store,0.75,1,4743126.122682098,82352.59336550353
L_store,1.0,1,4743126.122682098,82352.59336550353
L_store,1.25,1,4743126.122682098,82352.59336550353
L_store,1.5,2,6307003.634085475,113630.14359357109
