parameter,multiplier,value,total_safety_stock,total_holding_cost,store_cost_pct,wh_cost_pct,dc_cost_pct
h_dc,0.5,0.0025,4743126.122682098,80935.58794524326,93.29726005016839,4.951958302061314,1.7507816477702882
h_dc,0.75,0.00375,4743126.122682098,81644.0906553734,92.48763180809169,4.908985493505316,2.6033826984029997
h_dc,1.0,0.005,4743126.122682098,82352.59336550353,91.69193448865548,4.866752099461468,3.4413134118830713
h_dc,1.25,0.00625,4469722.346399471,82452.56644319788,91.58075875106465,8.419241248935355,0.0
h_dc,1.5,0.0075,4469722.346399471,82452.56644319788,91.58075875106465,8.419241248935355,0.0
h_warehouse,0.5,0.005,4469722.346399471,78981.6262008021,95.60538265751673,4.394617342483287,0.0
h_warehouse,0.75,0.0075,4469722.346399471,80717.096322,93.54980468719535,6.4501953128046505,0.0
h_warehouse,1.0,0.01,4743126.122682098,82352.59336550353,91.69193448865548,4.866752099461468,3.4413134118830713
h_warehouse,1.25,0.0125,4743126.122682098,83354.5675071477,90.58973997067558,6.010313361401776,3.3999466679226464
h_warehouse,1.5,0.015,4743126.122682098,84356.54164879184,89.5137288496082,7.126708530672696,3.35956261971912
h_store,0.5,0.01,4743126.122682098,44597.25038630038,84.65845461809245,8.986869216959116,6.35467616494843
h_store,0.75,0.015,4743126.122682098,63474.92187590195,89.22108573764986,6.314141787227932,4.464772475122217
h_store,1.0,0.02,4743126.122682098,82352.59336550353,91.69193448865548,4.866752099461468,3.4413134118830713
h_store,1.25,0.025,4743126.122682098,101230.26485510512,93.24124320242537,3.959188067237866,2.7995687303367554
h_store,1.5,0.03,4743126.122682098,120107.9363447067,94.3035342914717,3.336912354462614,2.359553354065682
