node_id,echelon,type,SI,S,L,tau,sigma,mu,safety_stock,holding_cost_weekly,holding_cost_annual
DC_R1,1,dc,0,0,2,2,198202.68146165277,13976843.44605042,651979.9404358692,3259.8997021793457,169514.78451332598
WH_R1_A,2,warehouse,0,0,1,1,198202.68146165277,13976843.44605042,461019.43707980437,4610.194370798044,239730.10728149826
S1_D2,3,store_dept,0,0,1,1,3599.618688681478,46198.28277310925,8372.713069873118,167.45426139746237,8707.621592668043
S1_D8,3,store_dept,0,0,1,1,2445.8619434587476,35500.78058823529,5689.074880485047,113.78149760970095,5916.6378757044495
S1_D13,3,store_dept,0,0,1,1,2522.4856376761186,38630.1687394958,5867.301593234652,117.34603186469303,6101.993656964038
S1_D38,3,store_dept,0,0,1,1,12095.506150142315,78910.35327731092,28134.147305231025,562.6829461046206,29259.51319744027
S1_D40,3,store_dept,0,0,1,1,4312.366130019231,58206.31050420168,10030.56361842473,200.6112723684946,10431.78616316172
S1_D72,3,store_dept,0,0,1,1,24302.016433877656,46915.56781512605,56526.49022519943,1130.5298045039885,58787.549834207406
S1_D90,3,store_dept,0,0,1,1,8427.659246418902,82560.94899159664,19602.735407170367,392.05470814340737,20386.844823457184
S1_D91,3,store_dept,0,0,1,1,6147.907617183285,64426.45840336134,14300.03311756832,286.00066235136643,14872.034442271055
S1_D92,3,store_dept,0,0,1,1,17223.05138810475,135323.5518487395,40060.81752873165,801.216350574633,41663.25022988091
S1_D95,3,store_dept,0,0,1,1,10321.472404849907,121067.63117647059,24007.74481368088,480.1548962736176,24968.054606228117
S2_D2,3,store_dept,0,0,1,1,5087.603401757657,65859.36487394958,11833.76551248831,236.6753102497662,12307.116132987841
S2_D8,3,store_dept,0,0,1,1,3755.663576728374,58272.883697478996,8735.673479470199,174.71346958940399,9085.100418649006
S2_D13,3,store_dept,0,0,1,1,2953.048662485483,45804.24596638655,6868.7911889412335,137.37582377882467,7143.542836498883
S2_D38,3,store_dept,0,0,1,1,9737.308249893094,84531.25714285714,22648.97898925134,452.97957978502683,23554.938148821395
S2_D40,3,store_dept,0,0,1,1,5176.110337301781,77527.2725210084,12039.632644563944,240.7926528912789,12521.217950346503
S2_D72,3,store_dept,0,0,1,1,36672.80254076826,73277.11957983194,85300.93870982697,1706.0187741965394,88712.97625822005
S2_D90,3,store_dept,0,0,1,1,9255.774447136242,97330.75739495797,21528.9313640389,430.57862728077805,22390.088618600457
S2_D91,3,store_dept,0,0,1,1,5518.932276402009,80270.69983193277,12837.036474911074,256.74072949822147,13350.517933907517
S2_D92,3,store_dept,0,0,1,1,20818.83977681733,164150.21495798317,48424.621320877115,968.4924264175423,50361.6061737122
S2_D95,3,store_dept,0,0,1,1,10708.870371096667,143430.09638655462,24908.83248317085,498.176649663417,25905.185782497683
S4_D2,3,store_dept,0,0,1,1,7925.592899497294,94176.43588235293,18434.929084230705,368.6985816846141,19172.326247599933
S4_D8,3,store_dept,0,0,1,1,3493.9750433216423,62929.30285714286,8126.98595076614,162.53971901532282,8452.065388796786
S4_D13,3,store_dept,0,0,1,1,4405.642467733585,69174.80848739496,10247.52437994832,204.9504875989664,10657.425355146252
S4_D38,3,store_dept,0,0,1,1,7833.517764137147,80515.73537815126,18220.762319383004,364.4152463876601,18949.592812158324
S4_D40,3,store_dept,0,0,1,1,5483.462804604692,78399.10924369747,12754.534483510513,255.09068967021028,13264.715862850935
S4_D72,3,store_dept,0,0,1,1,50963.09781044771,102107.86176470589,118540.16550710138,2370.803310142028,123281.77212738545
S4_D90,3,store_dept,0,0,1,1,9247.602082066169,89231.1405882353,21509.92244288591,430.1984488577182,22370.319340601345
S4_D91,3,store_dept,0,0,1,1,5553.671403460672,66056.95722689075,12917.839684449524,258.3567936889905,13434.553271827504
S4_D92,3,store_dept,0,0,1,1,19939.072940163536,159117.44529411764,46378.283658820386,927.5656731764077,48233.4150051732
S4_D95,3,store_dept,0,0,1,1,14841.812695205339,147772.53957983194,34522.05632904762,690.4411265809524,35902.93858220953
S6_D2,3,store_dept,0,0,1,1,5624.417985926648,50391.806806722685,13082.396235265383,261.6479247053077,13605.692084675999
