node_id,echelon,type,SI,S,L,tau,sigma,mu,safety_stock,holding_cost_weekly,holding_cost_annual
DC_R1,1,dc,0,0,2,2,132766.96620216643,13976843.44605042,308866.5887718951,1544.3329438594756,80305.31308069272
WH_R1_A,2,warehouse,0,0,1,1,132766.96620216643,13976843.44605042,218401.65940256376,2184.0165940256375,113568.86288933315
S1_D2,3,store_dept,0,0,1,1,2806.0267847893965,46198.28277310925,4615.914060978557,92.31828121957115,4800.5506234177
S1_D8,3,store_dept,0,0,1,1,1765.2023124180791,35500.78058823529,2903.75780392774,58.075156078554805,3019.90811608485
S1_D13,3,store_dept,0,0,1,1,2026.554360229888,38630.1687394958,3333.681922578166,66.67363845156332,3467.029199481293
S1_D38,3,store_dept,0,0,1,1,11225.956382005674,78910.35327731092,18466.698248399334,369.3339649679867,19205.366178335305
S1_D40,3,store_dept,0,0,1,1,3386.205017870742,58206.31050420168,5570.30725439737,111.40614508794741,5793.119544573266
S1_D72,3,store_dept,0,0,1,1,15313.054339463952,46915.56781512605,25189.974388418203,503.7994877683641,26197.573363954933
S1_D90,3,store_dept,0,0,1,1,4260.612600097314,82560.94899159664,7008.707727160081,140.17415454320164,7289.056036246485
S1_D91,3,store_dept,0,0,1,1,6147.907617183285,64426.45840336134,10113.308030266504,202.26616060533007,10517.840351477163
S1_D92,3,store_dept,0,0,1,1,17223.05138810475,135323.5518487395,28331.919533432312,566.6383906686463,29465.196314769604
S1_D95,3,store_dept,0,0,1,1,9898.460723110607,121067.63117647059,16282.967889516949,325.659357790339,16934.28660509763
S2_D2,3,store_dept,0,0,1,1,3992.3191026491877,65859.36487394958,6567.364923857914,131.3472984771583,6830.059520812231
S2_D8,3,store_dept,0,0,1,1,3748.0997723923056,58272.883697478996,6165.624125585343,123.31248251170686,6412.249090608757
S2_D13,3,store_dept,0,0,1,1,1942.9851130152708,45804.24596638655,3196.2105109101203,63.92421021820241,3324.0589313465252
S2_D38,3,store_dept,0,0,1,1,8829.143618157172,84531.25714285714,14523.941251868548,290.47882503737094,15104.898901943288
S2_D40,3,store_dept,0,0,1,1,3713.1620571824005,77527.2725210084,6108.151584065049,122.16303168130098,6352.4776474276505
S2_D72,3,store_dept,0,0,1,1,18580.101813879253,73277.11957983194,30564.267483831372,611.2853496766274,31786.838183184627
S2_D90,3,store_dept,0,0,1,1,5456.7774871932725,97330.75739495797,8976.398966432933,179.52797932865866,9335.454925090251
S2_D91,3,store_dept,0,0,1,1,4472.898112984757,80270.69983193277,7357.917395859926,147.1583479171985,7652.234091694323
S2_D92,3,store_dept,0,0,1,1,20818.83977681733,164150.21495798317,34246.99143286451,684.9398286572903,35616.87109017909
S2_D95,3,store_dept,0,0,1,1,10708.870371096667,143430.09638655462,17616.09176045402,352.3218352090804,18320.73543087218
S4_D2,3,store_dept,0,0,1,1,5408.450216603756,94176.43588235293,8896.90060631318,177.9380121262636,9252.776630565708
S4_D8,3,store_dept,0,0,1,1,3040.872893139611,62929.30285714286,5002.23590921466,100.0447181842932,5202.325345583246
S4_D13,3,store_dept,0,0,1,1,3659.6601697983265,69174.80848739496,6020.140979318247,120.40281958636496,6260.946618490978
S4_D38,3,store_dept,0,0,1,1,6537.923127205838,80515.73537815126,10754.883544253604,215.0976708850721,11185.078886023748
S4_D40,3,store_dept,0,0,1,1,4302.141663027596,78399.10924369747,7077.023035680396,141.54046071360793,7360.103957107613
S4_D72,3,store_dept,0,0,1,1,29608.024757309537,102107.86176470589,48705.200725774186,974.1040145154838,50653.408754805154
S4_D90,3,store_dept,0,0,1,1,5446.910065780486,89231.1405882353,8960.1670582089,179.203341164178,9318.573740537257
S4_D91,3,store_dept,0,0,1,1,4833.75659804476,66056.95722689075,7951.52960378363,159.0305920756726,8269.590787934974
S4_D92,3,store_dept,0,0,1,1,19939.072940163536,159117.44529411764,32799.77498656902,655.9954997313804,34111.76598603178
S4_D95,3,store_dept,0,0,1,1,14841.812695205339,147772.53957983194,24414.781883612784,488.2956376722557,25391.373158957296
S6_D2,3,store_dept,0,0,1,1,3311.8158185126213,50391.806806722685,5447.937021453262,108.95874042906524,5665.854502311393
S6_D8,3,store_dept,0,0,1,1,2448.7558341044296,47703.40310924369,4028.2033471017867,80.56406694203574,4189.331480985858
S6_D13,3,store_dept,0,0,1,1,1875.8904149729283,37671.083949579835,3085.839732630467,61.716794652609344,3209.273321935686
S6_D38,3,store_dept,0,0,1,1,7532.7870415784655,77184.35899159664,12391.434683396576,247.8286936679315,12887.092070732439
S6_D40,3,store_dept,0,0,1,1,4314.715185178046,65638.9712605042,7097.7064796178865,141.95412959235773,7381.614738802602
S6_D72,3,store_dept,0,0,1,1,26003.156789064415,81294.72336134454,42775.192918010966,855.5038583602193,44486.2006347314
S6_D90,3,store_dept,0,0,1,1,4130.738443957617,53832.47294117647,6795.06474031028,135.9012948062056,7066.867329922692
S6_D91,3,store_dept,0,0,1,1,2904.6719465344695,45307.94546218487,4778.185352049202,95.56370704098404,4969.31276613117
S6_D92,3,store_dept,0,0,1,1,6895.974361391335,98912.983697479,11343.877824488747,226.87755648977495,11797.632937468297
S6_D95,3,store_dept,0,0,1,1,6027.000022975316,89168.65546218488,9914.415037794395,198.28830075588792,10310.991639306172
S8_D2,3,store_dept,0,0,1,1,2182.4031781448743,35768.36218487395,3590.0532280483185,71.80106456096637,3733.655357170251
S8_D8,3,store_dept,0,0,1,1,1262.8972145206217,26220.213613445376,2077.4659178864226,41.54931835772845,2160.5645546018795
S8_D13,3,store_dept,0,0,1,1,1317.5645730605938,25131.97714285714,2167.393722684677,43.34787445369354,2254.089471592064
S8_D38,3,store_dept,0,0,1,1,6848.506405264199,59029.41378151261,11265.793036659608,225.31586073319218,11716.424758125993
S8_D40,3,store_dept,0,0,1,1,2174.5520226948784,37691.67394957983,3577.1380773330748,71.5427615466615,3720.2236004263978
S8_D72,3,store_dept,0,0,1,1,12477.18971515483,36828.007647058825,20524.977081429693,410.4995416285939,21345.976164686883
S8_D90,3,store_dept,0,0,1,1,1945.8028229223519,39267.127983193284,3200.8456437072687,64.01691287414538,3328.8794694555595
S8_D91,3,store_dept,0,0,1,1,2286.2427852463024,31352.773781512606,3760.869381730168,75.21738763460336,3911.3041569993743
S8_D92,3,store_dept,0,0,1,1,5271.203165224084,60115.44462184874,8671.129206793617,173.42258413587234,9017.974375065362
S8_D95,3,store_dept,0,0,1,1,4350.344885946487,62931.179159663865,7156.317337381971,143.12634674763942,7442.570030877249
S11_D2,3,store_dept,0,0,1,1,4407.845930218779,57180.229663865546,7250.906555209892,145.01813110419783,7540.942817418288
S11_D8,3,store_dept,0,0,1,1,2116.347092812741,34358.46302521008,3481.3909676769586,69.62781935353917,3620.6466063840367
S11_D13,3,store_dept,0,0,1,1,2277.1257368177053,40961.66747899159,3745.8718370651254,74.91743674130251,3895.7067105477304
S11_D38,3,store_dept,0,0,1,1,8232.391367279997,73377.02613445377,13542.283799175595,270.8456759835119,14083.975151142618
S11_D40,3,store_dept,0,0,1,1,2587.4581640466436,53276.74226890756,4256.368679856729,85.12737359713458,4426.623427050998
S11_D72,3,store_dept,0,0,1,1,17302.367559420956,71198.12588235295,28462.394635247474,569.2478927049495,29600.890420657375
S11_D90,3,store_dept,0,0,1,1,2588.256863805028,49091.65605042017,4257.682540959271,85.15365081918543,4427.989842597643
S11_D91,3,store_dept,0,0,1,1,3180.0683250672673,41945.88966386555,5231.212394735655,104.62424789471311,5440.460890525082
S11_D92,3,store_dept,0,0,1,1,5302.5390016384345,76951.72630252101,8722.676657695225,174.45353315390452,9071.583724003034
S11_D95,3,store_dept,0,0,1,1,4616.108827716415,77396.90983193277,7593.499021593503,151.86998043187006,7897.238982457243
S13_D2,3,store_dept,0,0,1,1,5220.5572710451515,76393.49226890756,8587.816710869274,171.7563342173855,8931.329379304047
S13_D8,3,store_dept,0,0,1,1,1727.7311383178471,36092.64705882353,2842.1177225328584,56.84235445065717,2955.802431434173
S13_D13,3,store_dept,0,0,1,1,2364.7054861531406,47327.25521008403,3889.940524721916,77.79881049443833,4045.5381457107933
S13_D38,3,store_dept,0,0,1,1,7083.480996408101,83250.1487394958,11652.326239091328,233.04652478182655,12118.41928865498
S13_D40,3,store_dept,0,0,1,1,3037.050841627751,77300.15462184875,4995.948634477651,99.91897268955302,5195.786579856756
S13_D72,3,store_dept,0,0,1,1,20194.072286392697,77501.09630252102,33219.24891111599,664.3849782223198,34548.018867560626
S13_D90,3,store_dept,0,0,1,1,5718.903321798593,115699.91722689076,9407.595964358687,188.15191928717374,9783.899802933034
S13_D91,3,store_dept,0,0,1,1,4906.610987040256,80811.33588235294,8071.375073681222,161.42750147362443,8394.23007662847
S13_D92,3,store_dept,0,0,1,1,9781.17372467752,161579.56210084035,16090.03077709452,321.8006155418904,16733.6320081783
S13_D95,3,store_dept,0,0,1,1,8692.918296991364,137298.7468907563,14299.850598550793,285.99701197101587,14871.844622492825
S14_D2,3,store_dept,0,0,1,1,5506.807931314145,78770.02151260505,9058.699047011769,181.1739809402354,9421.047008892241
S14_D8,3,store_dept,0,0,1,1,4629.161573584327,53978.035798319324,7614.970788546218,152.29941577092436,7919.569620088067
S14_D13,3,store_dept,0,0,1,1,4353.196815630023,60494.68974789916,7161.008761711388,143.22017523422775,7447.449112179843
