node_id,echelon,type,SI,S,L,tau,sigma,mu,safety_stock,holding_cost_weekly,holding_cost_annual
DC_R1,1,dc,0,0,2,2,110865.56122791923,13976843.44605042,201001.67793002128,1005.0083896501064,52260.43626180553
WH_R1_A,2,warehouse,0,0,1,1,110865.56122791923,13976843.44605042,142129.64949419245,1421.2964949419245,73907.41773698007
S1_D2,3,store_dept,0,0,1,1,2687.5058236077025,46198.28277310925,3445.3824658650747,68.90764931730149,3583.1977644996778
S1_D8,3,store_dept,0,0,1,1,2260.7064598268653,35500.78058823529,2898.2256814980415,57.964513629960834,3014.1547087579634
S1_D13,3,store_dept,0,0,1,1,2427.368795951025,38630.1687394958,3111.8867964092137,62.23773592818428,3236.3622682655823
S1_D38,3,store_dept,0,0,1,1,12095.506150142315,78910.35327731092,15506.438884482448,310.128777689649,16126.696439861747
S1_D40,3,store_dept,0,0,1,1,2847.958775925224,58206.31050420168,3651.083150736137,73.02166301472275,3797.126476765583
S1_D72,3,store_dept,0,0,1,1,10506.08336367062,46915.56781512605,13468.798872225734,269.37597744451466,14007.550827114763
S1_D90,3,store_dept,0,0,1,1,5328.219103383328,82560.94899159664,6830.776890537426,136.61553781074852,7104.007966158923
S1_D91,3,store_dept,0,0,1,1,4847.977787018709,64426.45840336134,6215.107522957985,124.30215045915969,6463.711823876304
S1_D92,3,store_dept,0,0,1,1,11936.469198600946,135323.5518487395,15302.553512606413,306.0510702521283,15914.65565311067
S1_D95,3,store_dept,0,0,1,1,9196.20452122592,121067.63117647059,11789.534196211629,235.79068392423258,12261.115564060094
S2_D2,3,store_dept,0,0,1,1,3840.362236938494,65859.36487394958,4923.344387755149,98.46688775510299,5120.278163265355
S2_D8,3,store_dept,0,0,1,1,2478.797712356602,58272.883697478996,3177.818667241164,63.55637334482328,3304.9314139308103
S2_D13,3,store_dept,0,0,1,1,1921.263612672083,45804.24596638655,2463.0599514456103,49.26119902891221,2561.5823495034347
S2_D38,3,store_dept,0,0,1,1,9137.879582431622,84531.25714285714,11714.76162467734,234.2952324935468,12183.352089664433
S2_D40,3,store_dept,0,0,1,1,4243.1634822638525,77527.2725210084,5439.735584262259,108.79471168524519,5657.3250076327495
S2_D72,3,store_dept,0,0,1,1,15533.19569956638,73277.11957983194,19913.5568868441,398.271137736882,20710.099162317863
S2_D90,3,store_dept,0,0,1,1,5783.98371139426,97330.75739495797,7415.067118007442,148.30134236014885,7711.66980272774
S2_D91,3,store_dept,0,0,1,1,4684.823157482745,80270.69983193277,6005.943287892879,120.11886575785759,6246.181019408595
S2_D92,3,store_dept,0,0,1,1,12643.060529677414,164150.21495798317,16208.403599046445,324.1680719809289,16856.739743008304
S2_D95,3,store_dept,0,0,1,1,7856.114675472312,143430.09638655462,10071.539013955504,201.43078027911008,10474.400574513724
S4_D2,3,store_dept,0,0,1,1,6516.913830214251,94176.43588235293,8354.68353033467,167.09367060669342,8688.870871548057
S4_D8,3,store_dept,0,0,1,1,2938.4396086247298,62929.30285714286,3767.0795782569035,75.34159156513807,3917.76276138718
S4_D13,3,store_dept,0,0,1,1,4145.737741457823,69174.80848739496,5314.835784548929,106.29671569097859,5527.429215930886
S4_D38,3,store_dept,0,0,1,1,7320.795420051704,80515.73537815126,9385.259728506286,187.7051945701257,9760.670117646538
S4_D40,3,store_dept,0,0,1,1,4483.991679416903,78399.10924369747,5748.47733301247,114.9695466602494,5978.416426332969
S4_D72,3,store_dept,0,0,1,1,19082.815305201824,102107.86176470589,24464.169221268738,489.2833844253748,25442.735990119487
S4_D90,3,store_dept,0,0,1,1,5817.819193394058,89231.1405882353,7458.444205931182,149.16888411862365,7756.78197416843
S4_D91,3,store_dept,0,0,1,1,4612.497818758089,66056.95722689075,5913.222203647871,118.26444407295742,6149.751091793785
S4_D92,3,store_dept,0,0,1,1,13492.286391315312,159117.44529411764,17297.111153666232,345.94222307332467,17988.995599812883
S4_D95,3,store_dept,0,0,1,1,9688.503280211742,147772.53957983194,12420.661205231454,248.41322410462908,12917.487653440712
S6_D2,3,store_dept,0,0,1,1,3586.8945691414247,50391.806806722685,4598.398837639306,91.96797675278613,4782.334791144879
S6_D8,3,store_dept,0,0,1,1,2530.522028205382,47703.40310924369,3244.1292401592996,64.88258480318599,3373.8944097656718
S6_D13,3,store_dept,0,0,1,1,2524.7293978912185,37671.083949579835,3236.703088096542,64.73406176193085,3366.171211620404
S6_D38,3,store_dept,0,0,1,1,7696.298980058395,77184.35899159664,9866.655292434862,197.33310584869724,10261.321504132256
S6_D40,3,store_dept,0,0,1,1,2955.2689963822295,65638.9712605042,3788.6548533620185,75.77309706724037,3940.201047496499
S6_D72,3,store_dept,0,0,1,1,21500.927687356903,81294.72336134454,27564.18929519155,551.283785903831,28666.756866999214
S6_D90,3,store_dept,0,0,1,1,3919.550463125,53832.47294117647,5024.86369372625,100.497273874525,5225.8582414753
S6_D91,3,store_dept,0,0,1,1,2726.773951549634,45307.94546218487,3495.724205886631,69.91448411773261,3635.5531741220957
S6_D92,3,store_dept,0,0,1,1,7620.9352315091755,98912.983697479,9770.038966794764,195.4007793358953,10160.840525466556
S6_D95,3,store_dept,0,0,1,1,7168.341793486035,89168.65546218488,9189.814179249097,183.79628358498195,9557.406746419061
S8_D2,3,store_dept,0,0,1,1,2790.4659787746164,35768.36218487395,3577.3773847890584,71.54754769578118,3720.472480180621
S8_D8,3,store_dept,0,0,1,1,1778.8884192019295,26220.213613445376,2280.5349534168736,45.610699068337475,2371.7563515535485
S8_D13,3,store_dept,0,0,1,1,1411.8992057509793,25131.97714285714,1810.0547817727554,36.20109563545511,1882.4569730436658
S8_D38,3,store_dept,0,0,1,1,6316.497688576049,59029.41378151261,8097.750036754494,161.9550007350899,8421.660038224674
S8_D40,3,store_dept,0,0,1,1,2254.1744367353194,37691.67394957983,2889.8516278946795,57.797032557893594,3005.445693010467
S8_D72,3,store_dept,0,0,1,1,8483.208041445372,36828.007647058825,10875.472709132968,217.50945418265937,11310.491617498286
S8_D90,3,store_dept,0,0,1,1,2261.1698334393636,39267.127983193284,2898.8197264692644,57.97639452938529,3014.772515528035
