node_id,echelon,type,SI,S,L,tau,sigma,mu,safety_stock,holding_cost_weekly,holding_cost_annual
DC_R1,1,dc,0,0,2,2,110865.56122791923,13976843.44605042,257915.5695747933,1289.5778478739664,67058.04808944625
WH_R1_A,2,warehouse,0,0,1,1,110865.56122791923,13976843.44605042,182373.84821992714,1823.7384821992714,94834.40107436212
S1_D2,3,store_dept,0,0,1,1,2687.5058236077025,46198.28277310925,4420.947079834671,66.31420619752006,3448.3387222710435
S1_D8,3,store_dept,0,0,1,1,2260.7064598268653,35500.78058823529,3718.8621264151934,55.7829318962279,2900.712458603851
S1_D13,3,store_dept,0,0,1,1,2427.368795951025,38630.1687394958,3993.021669339436,59.895325040091535,3114.5569020847597
S1_D38,3,store_dept,0,0,1,1,12095.506150142315,78910.35327731092,19897.107616984107,298.4566142547616,15519.743941247601
S1_D40,3,store_dept,0,0,1,1,2847.958775925224,58206.31050420168,4684.892186396994,70.2733827959549,3654.215905389655
S1_D72,3,store_dept,0,0,1,1,10506.08336367062,46915.56781512605,17282.50713323817,259.2376069985726,13480.355563925774
S1_D90,3,store_dept,0,0,1,1,5328.219103383328,82560.94899159664,8764.920425065575,131.47380637598363,6836.6379315511485
S1_D91,3,store_dept,0,0,1,1,4847.977787018709,64426.45840336134,7974.923459645776,119.62385189468664,6220.440298523705
S1_D92,3,store_dept,0,0,1,1,11936.469198600946,135323.5518487395,19635.491831698557,294.5323774754783,15315.683628724872
S1_D95,3,store_dept,0,0,1,1,9196.20452122592,121067.63117647059,15127.756437416638,226.91634656124955,11799.650021184976
S2_D2,3,store_dept,0,0,1,1,3840.362236938494,65859.36487394958,6317.395879763822,94.76093819645733,4927.568786215781
S2_D8,3,store_dept,0,0,1,1,2478.797712356602,58272.883697478996,4077.6222368266103,61.16433355239915,3180.545344724756
S2_D13,3,store_dept,0,0,1,1,1921.263612672083,45804.24596638655,3160.4786428455764,47.407179642683644,2465.1733414195496
S2_D38,3,store_dept,0,0,1,1,9137.879582431622,84531.25714285714,15031.811913100019,225.47717869650026,11724.813292218014
S2_D40,3,store_dept,0,0,1,1,4243.1634822638525,77527.2725210084,6980.003928324038,104.70005892486056,5444.4030640927485
S2_D72,3,store_dept,0,0,1,1,15533.19569956638,73277.11957983194,25552.106925786695,383.2816038868004,19930.64340211362
S2_D90,3,store_dept,0,0,1,1,5783.98371139426,97330.75739495797,9514.653205243558,142.71979807865335,7421.429500089975
S2_D91,3,store_dept,0,0,1,1,4684.823157482745,80270.69983193277,7706.534094059116,115.59801141088673,6011.09659336611
S2_D92,3,store_dept,0,0,1,1,12643.060529677414,164150.21495798317,20797.834571319345,311.9675185697902,16222.310965629089
S2_D95,3,store_dept,0,0,1,1,7856.114675472312,143430.09638655462,12923.308641151954,193.8496296172793,10080.180740098524
S4_D2,3,store_dept,0,0,1,1,6516.913830214251,94176.43588235293,10720.323250702442,160.80484876053663,8361.852135547904
S4_D8,3,store_dept,0,0,1,1,2938.4396086247298,62929.30285714286,4833.733156187681,72.5059973428152,3770.3118618263907
S4_D13,3,store_dept,0,0,1,1,4145.737741457823,69174.80848739496,6819.738584698119,102.29607877047178,5319.396096064533
S4_D38,3,store_dept,0,0,1,1,7320.795420051704,80515.73537815126,12042.708465985053,180.6406269897758,9393.312603468341
S4_D40,3,store_dept,0,0,1,1,4483.991679416903,78399.10924369747,7376.166312640806,110.64249468961208,5753.409723859828
S4_D72,3,store_dept,0,0,1,1,19082.815305201824,102107.86176470589,31391.231177057,470.868467655855,24485.16031810446
S4_D90,3,store_dept,0,0,1,1,5817.819193394058,89231.1405882353,9570.312573133226,143.55468859699837,7464.843807043915
S4_D91,3,store_dept,0,0,1,1,4612.497818758089,66056.95722689075,7587.558911857057,113.81338367785585,5918.295951248504
S4_D92,3,store_dept,0,0,1,1,13492.286391315312,159117.44529411764,22194.811113713688,332.9221667057053,17311.952668696675
S4_D95,3,store_dept,0,0,1,1,9688.503280211742,147772.53957983194,15937.587895948316,239.06381843922475,12431.318558839686
