node_id,echelon,type,SI,S,L,tau,sigma,mu,safety_stock,holding_cost_weekly,holding_cost_annual
DC_R1,1,dc,0,2,2,0,110865.56122791923,13976843.44605042,0.0,0.0,0.0
WH_R1_A,2,warehouse,2,0,2,4,110865.56122791923,13976843.44605042,364747.6964398543,3647.476964398543,189668.80214872424
S1_D2,3,store_dept,0,0,1,1,2687.5058236077025,46198.28277310925,4420.947079834671,88.41894159669343,4597.784963028058
S1_D8,3,store_dept,0,0,1,1,2260.7064598268653,35500.78058823529,3718.8621264151934,74.37724252830387,3867.616611471801
S1_D13,3,store_dept,0,0,1,1,2427.368795951025,38630.1687394958,3993.021669339436,79.86043338678871,4152.742536113014
S1_D38,3,store_dept,0,0,1,1,12095.506150142315,78910.35327731092,19897.107616984107,397.94215233968214,20692.99192166347
S1_D40,3,store_dept,0,0,1,1,2847.958775925224,58206.31050420168,4684.892186396994,93.69784372793987,4872.287873852873
S1_D72,3,store_dept,0,0,1,1,10506.08336367062,46915.56781512605,17282.50713323817,345.6501426647634,17973.807418567696
S1_D90,3,store_dept,0,0,1,1,5328.219103383328,82560.94899159664,8764.920425065575,175.2984085013115,9115.5172420682
S1_D91,3,store_dept,0,0,1,1,4847.977787018709,64426.45840336134,7974.923459645776,159.49846919291554,8293.920398031609
S1_D92,3,store_dept,0,0,1,1,11936.469198600946,135323.5518487395,19635.491831698557,392.7098366339711,20420.911504966498
S1_D95,3,store_dept,0,0,1,1,9196.20452122592,121067.63117647059,15127.756437416638,302.5551287483328,15732.866694913304
S2_D2,3,store_dept,0,0,1,1,3840.362236938494,65859.36487394958,6317.395879763822,126.34791759527646,6570.091714954376
S2_D8,3,store_dept,0,0,1,1,2478.797712356602,58272.883697478996,4077.6222368266103,81.55244473653221,4240.727126299675
S2_D13,3,store_dept,0,0,1,1,1921.263612672083,45804.24596638655,3160.4786428455764,63.20957285691153,3286.8977885593995
S2_D38,3,store_dept,0,0,1,1,9137.879582431622,84531.25714285714,15031.811913100019,300.6362382620004,15633.08438962402
S2_D40,3,store_dept,0,0,1,1,4243.1634822638525,77527.2725210084,6980.003928324038,139.60007856648076,7259.204085457
S2_D72,3,store_dept,0,0,1,1,15533.19569956638,73277.11957983194,25552.106925786695,511.0421385157339,26574.19120281816
S2_D90,3,store_dept,0,0,1,1,5783.98371139426,97330.75739495797,9514.653205243558,190.29306410487115,9895.239333453299
S2_D91,3,store_dept,0,0,1,1,4684.823157482745,80270.69983193277,7706.534094059116,154.1306818811823,8014.79545782148
S2_D92,3,store_dept,0,0,1,1,12643.060529677414,164150.21495798317,20797.834571319345,415.9566914263869,21629.74795417212
S2_D95,3,store_dept,0,0,1,1,7856.114675472312,143430.09638655462,12923.308641151954,258.4661728230391,13440.240986798031
S4_D2,3,store_dept,0,0,1,1,6516.913830214251,94176.43588235293,10720.323250702442,214.40646501404885,11149.13618073054
S4_D8,3,store_dept,0,0,1,1,2938.4396086247298,62929.30285714286,4833.733156187681,96.67466312375362,5027.0824824351885
S4_D13,3,store_dept,0,0,1,1,4145.737741457823,69174.80848739496,6819.738584698119,136.39477169396238,7092.528128086044
S4_D38,3,store_dept,0,0,1,1,7320.795420051704,80515.73537815126,12042.708465985053,240.85416931970107,12524.416804624456
S4_D40,3,store_dept,0,0,1,1,4483.991679416903,78399.10924369747,7376.166312640806,147.5233262528161,7671.212965146437
S4_D72,3,store_dept,0,0,1,1,19082.815305201824,102107.86176470589,31391.231177057,627.82462354114,32646.88042413928
S4_D90,3,store_dept,0,0,1,1,5817.819193394058,89231.1405882353,9570.312573133226,191.40625146266453,9953.125076058555
S4_D91,3,store_dept,0,0,1,1,4612.497818758089,66056.95722689075,7587.558911857057,151.75117823714115,7891.061268331339
S4_D92,3,store_dept,0,0,1,1,13492.286391315312,159117.44529411764,22194.811113713688,443.8962222742738,23082.603558262235
S4_D95,3,store_dept,0,0,1,1,9688.503280211742,147772.53957983194,15937.587895948316,318.75175791896635,16575.09141178625
S6_D2,3,store_dept,0,0,1,1,3586.8945691414247,50391.806806722685,5900.441566237643,118.00883132475286,6136.459228887149
S6_D8,3,store_dept,0,0,1,1,2530.522028205382,47703.40310924369,4162.7087363978535,83.25417472795708,4329.217085853768
S6_D13,3,store_dept,0,0,1,1,2524.7293978912185,37671.083949579835,4153.179859531055,83.0635971906211,4319.307053912297
S6_D38,3,store_dept,0,0,1,1,7696.298980058395,77184.35899159664,12660.41182219606,253.2082364439212,13166.828295083902
