node_id,echelon,type,SI,S,L,tau,sigma,mu,safety_stock,holding_cost_weekly,holding_cost_annual
DC_R1,1,dc,0,3,3,0,198202.68146165277,13976843.44605042,0.0,0.0,0.0
WH_R1_A,2,warehouse,3,0,2,5,198202.68146165277,13976843.44605042,729055.2306217834,7290.5523062178345,379108.7199233274
S1_D2,3,store_dept,0,0,2,2,3599.618688681478,46198.28277310925,8374.085640848729,167.48171281697458,8709.049066482678
S1_D8,3,store_dept,0,0,2,2,2445.8619434587476,35500.78058823529,5690.007512356445,113.8001502471289,5917.607812850702
S1_D13,3,store_dept,0,0,2,2,2522.4856376761186,38630.1687394958,5868.26344249484,117.36526884989681,6102.993980194634
S1_D38,3,store_dept,0,0,2,2,12095.506150142315,78910.35327731092,28138.75944393594,562.7751888787188,29264.30982169338
S1_D40,3,store_dept,0,0,2,2,4312.366130019231,58206.31050420168,10032.20796720114,200.64415934402282,10433.496285889187
S1_D72,3,store_dept,0,0,2,2,24302.016433877656,46915.56781512605,56535.75682960696,1130.7151365921393,58797.18710279124
S1_D90,3,store_dept,0,0,2,2,8427.659246418902,82560.94899159664,19605.948958791916,392.1189791758383,20390.186917143594
S1_D91,3,store_dept,0,0,2,2,6147.907617183285,64426.45840336134,14302.377376859622,286.04754753719243,14874.472471934007
S1_D92,3,store_dept,0,0,2,2,17223.05138810475,135323.5518487395,40067.38485224319,801.3476970448637,41670.08024633292
S1_D95,3,store_dept,0,0,2,2,10321.472404849907,121067.63117647059,24011.68049539434,480.2336099078868,24972.14771521011
S2_D2,3,store_dept,0,0,2,2,5087.603401757657,65859.36487394958,11835.70546706923,236.7141093413846,12309.133685752
S2_D8,3,store_dept,0,0,2,2,3755.663576728374,58272.883697478996,8737.105551938259,174.7421110387652,9086.589774015789
S2_D13,3,store_dept,0,0,2,2,2953.048662485483,45804.24596638655,6869.91721623308,137.3983443246616,7144.713904882403
S2_D38,3,store_dept,0,0,2,2,9737.308249893094,84531.25714285714,22652.691923270268,453.05383846540536,23558.79960020108
S2_D40,3,store_dept,0,0,2,2,5176.110337301781,77527.2725210084,12041.606347733637,240.83212695467276,12523.270601642984
S2_D72,3,store_dept,0,0,2,2,36672.80254076826,73277.11957983194,85314.92241996828,1706.2984483993657,88727.51931676702
S2_D90,3,store_dept,0,0,2,2,9255.774447136242,97330.75739495797,21532.460684353544,430.64921368707087,22393.759111727686
S2_D91,3,store_dept,0,0,2,2,5518.932276402009,80270.69983193277,12839.140899549931,256.78281799099864,13352.706535531928
S2_D92,3,store_dept,0,0,2,2,20818.83977681733,164150.21495798317,48432.55975483219,968.6511950966438,50369.86214502548
S2_D95,3,store_dept,0,0,2,2,10708.870371096667,143430.09638655462,24912.915883643007,498.25831767286013,25909.432518988728
S4_D2,3,store_dept,0,0,2,2,7925.592899497294,94176.43588235293,18437.951192881428,368.75902385762856,19175.469240596685
S4_D8,3,store_dept,0,0,2,2,3493.9750433216423,62929.30285714286,8128.318238752379,162.5663647750476,8453.450968302475
S4_D13,3,store_dept,0,0,2,2,4405.642467733585,69174.80848739496,10249.204295934738,204.98408591869477,10659.172467772129
S4_D38,3,store_dept,0,0,2,2,7833.517764137147,80515.73537815126,18223.74931885431,364.47498637708617,18952.699291608482
S4_D40,3,store_dept,0,0,2,2,5483.462804604692,78399.10924369747,12756.6253832814,255.132507665628,13266.890398612655
S4_D72,3,store_dept,0,0,2,2,50963.09781044771,102107.86176470589,118559.59825121445,2371.191965024289,123301.98218126303
S4_D90,3,store_dept,0,0,2,2,9247.602082066169,89231.1405882353,21513.44864699518,430.2689729399036,22373.98659287499
S4_D91,3,store_dept,0,0,2,2,5553.671403460672,66056.95722689075,12919.957355468523,258.39914710937046,13436.755649687264
S4_D92,3,store_dept,0,0,2,2,19939.072940163536,159117.44529411764,46385.88662879171,927.7177325758342,48241.32209394338
S4_D95,3,store_dept,0,0,2,2,14841.812695205339,147772.53957983194,34527.71566218614,690.5543132437228,35908.82428867359
S6_D2,3,store_dept,0,0,2,2,5624.417985926648,50391.806806722685,13084.540882671083,261.6908176534217,13607.922517977928
S6_D8,3,store_dept,0,0,2,2,3695.138216270389,47703.40310924369,8596.30048458151,171.9260096916302,8940.152503964771
S6_D13,3,store_dept,0,0,2,2,2785.372833451423,37671.083949579835,6479.839301412093,129.59678602824187,6739.032873468577
