node_id,echelon,type,SI,S,L,tau,sigma,mu,safety_stock,holding_cost_weekly,holding_cost_annual
DC_R1,1,dc,0,0,2,2,198202.68146165277,13976843.44605042,575738.0901355438,2878.690450677719,149691.9034352414
WH_R1_A,2,warehouse,0,0,1,1,198202.68146165277,13976843.44605042,407108.30772223475,4071.0830772223476,211696.3200155621
S1_D2,3,store_dept,0,0,1,1,3599.618688681478,46198.28277310925,7393.6167865517555,147.87233573103512,7689.361458013826
S1_D8,3,store_dept,0,0,1,1,2445.8619434587476,35500.78058823529,5023.800431864267,100.47600863728535,5224.752449138838
S1_D13,3,store_dept,0,0,1,1,2522.4856376761186,38630.1687394958,5181.185499786747,103.62370999573494,5388.432919778217
S1_D38,3,store_dept,0,0,1,1,12095.506150142315,78910.35327731092,24844.169632392313,496.8833926478463,25837.936417688008
S1_D40,3,store_dept,0,0,1,1,4312.366130019231,58206.31050420168,8857.600031059499,177.15200062118998,9211.90403230188
S1_D72,3,store_dept,0,0,1,1,24302.016433877656,46915.56781512605,49916.3417551847,998.3268351036941,51912.99542539209
S1_D90,3,store_dept,0,0,1,1,8427.659246418902,82560.94899159664,17310.412092144423,346.20824184288847,18002.8285758302
S1_D91,3,store_dept,0,0,1,1,6147.907617183285,64426.45840336134,12627.802245694465,252.5560449138893,13132.914335522244
S1_D92,3,store_dept,0,0,1,1,17223.05138810475,135323.5518487395,35376.14755116715,707.522951023343,36791.19345321384
S1_D95,3,store_dept,0,0,1,1,10321.472404849907,121067.63117647059,21200.304319561707,424.00608639123413,22048.316492344176
S2_D2,3,store_dept,0,0,1,1,5087.603401757657,65859.36487394958,10449.937387210226,208.99874774420454,10867.934882698635
S2_D8,3,store_dept,0,0,1,1,3755.663576728374,58272.883697478996,7714.13298660008,154.2826597320016,8022.698306064083
S2_D13,3,store_dept,0,0,1,1,2953.048662485483,45804.24596638655,6065.561952745182,121.31123905490364,6308.184430854989
S2_D38,3,store_dept,0,0,1,1,9737.308249893094,84531.25714285714,20000.431145280414,400.00862290560826,20800.44839109163
S2_D40,3,store_dept,0,0,1,1,5176.110337301781,77527.2725210084,10631.730632817858,212.63461265635718,11056.999858130574
S2_D72,3,store_dept,0,0,1,1,36672.80254076826,73277.11957983194,75325.936418738,1506.51872837476,78338.97387548751
S2_D90,3,store_dept,0,0,1,1,9255.774447136242,97330.75739495797,19011.36071441784,380.2272142883568,19771.815142994554
S2_D91,3,store_dept,0,0,1,1,5518.932276402009,80270.69983193277,11335.886895729725,226.71773791459452,11789.322371558916
S2_D92,3,store_dept,0,0,1,1,20818.83977681733,164150.21495798317,42761.8969015828,855.237938031656,44472.37277764611
S2_D95,3,store_dept,0,0,1,1,10708.870371096667,143430.09638655462,21996.019742232555,439.9203948446511,22875.86053192186
S4_D2,3,store_dept,0,0,1,1,7925.592899497294,94176.43588235293,16279.16781556744,325.5833563113488,16930.334528190135
S4_D8,3,store_dept,0,0,1,1,3493.9750433216423,62929.30285714286,7176.624738982652,143.53249477965304,7463.689728541958
S4_D13,3,store_dept,0,0,1,1,4405.642467733585,69174.80848739496,9049.189628724784,180.98379257449568,9411.157213873776
S4_D38,3,store_dept,0,0,1,1,7833.517764137147,80515.73537815126,16090.0454875377,321.800909750754,16733.647307039206
S4_D40,3,store_dept,0,0,1,1,5483.462804604692,78399.10924369747,11263.032600658036,225.26065201316072,11713.553904684357
S4_D72,3,store_dept,0,0,1,1,50963.09781044771,102107.86176470589,104678.20290265958,2093.5640580531917,108865.33101876597
