Store,Dept,Date,Weekly_Sales,pred_mean,residual,cv_fold
1,2,2011-02-04,46829.12,43570.84871873499,3258.2712812650134,0
1,2,2011-02-11,47595.35,45125.45170806912,2469.8982919308764,0
1,2,2011-02-18,49202.06,44701.15594830358,4500.904051696416,0
1,2,2011-02-25,46165.25,47008.44902823055,-843.1990282305487,0
1,2,2011-03-04,53035.54,47383.09061975145,5652.449380248552,0
1,2,2011-03-11,48465.72,49991.79505528275,-1526.0750552827521,0
1,2,2011-03-18,45222.3,49457.72721001505,-4235.427210015048,0
1,2,2011-03-25,44293.54,47599.19592573656,-3305.655925736559,0
1,2,2011-04-01,46991.58,46874.35592429912,117.22407570088399,0
1,2,2011-04-08,48501.79,46731.294844413685,1770.4951555863154,0
1,2,2011-04-15,44464.74,47337.89114443808,-2873.1511444380812,0
1,2,2011-04-22,46544.56,46673.549952847476,-128.98995284747798,0
1,2,2011-04-29,43682.41,46702.23322027638,-3019.8232202763757,0
1,2,2011-05-06,50139.92,46187.57877499487,3952.341225005126,0
1,2,2011-05-13,44274.15,46640.623358927674,-2366.473358927673,0
1,8,2011-02-04,39903.33,38376.59508769627,1526.7349123037347,0
1,8,2011-02-11,36011.09,38805.48581757985,-2794.3958175798543,0
1,8,2011-02-18,35386.72,38884.78075305747,-3498.0607530574707,0
1,8,2011-02-25,34195.37,38447.34278811934,-4251.972788119339,0
1,8,2011-03-04,36369.58,38573.1836967859,-2203.6036967858963,0
1,8,2011-03-11,34415.39,38376.59508769627,-3961.2050876962676,0
1,8,2011-03-18,33301.63,38447.34278811934,-5145.712788119345,0
1,8,2011-03-25,32558.92,38136.34635515887,-5577.426355158874,0
1,8,2011-04-01,35319.05,37771.970009255296,-2452.920009255293,0
1,8,2011-04-08,34442.29,37239.70532397451,-2797.4153239745065,0
1,8,2011-04-15,32224.01,38059.60636520553,-5835.5963652055325,0
1,8,2011-04-22,32832.06,37437.64874674002,-4605.588746740024,0
1,8,2011-04-29,32827.42,37518.299066645326,-4690.879066645328,0
1,8,2011-05-06,37360.03,37296.6399315453,63.39006845469703,0
1,8,2011-05-13,34727.2,37861.10716345513,-3133.9071634551365,0
1,13,2011-02-04,38065.42,38573.1836967859,-507.7636967858998,0
1,13,2011-02-11,36883.13,38595.55770826269,-1712.427708262694,0
1,13,2011-02-18,37604.79,39483.24906278341,-1878.4590627834114,0
1,13,2011-02-25,37838.4,40239.59969245209,-2401.1996924520863,0
1,13,2011-03-04,42277.37,40721.97641942383,1555.393580576172,0
1,13,2011-03-11,37577.97,42298.717728642776,-4720.747728642775,0
1,13,2011-03-18,36930.48,41993.74151259248,-5063.2615125924785,0
1,13,2011-03-25,36745.46,41150.711168568414,-4405.251168568415,0
1,13,2011-04-01,37630.13,41568.37029473866,-3938.2402947386654,0
1,13,2011-04-08,38076.86,40198.16757619785,-2121.307576197847,0
1,13,2011-04-15,35263.45,40721.97641942383,-5458.526419423833,0
1,13,2011-04-22,35464.71,40527.04628579264,-5062.33628579264,0
1,13,2011-04-29,34311.69,39492.20278735817,-5180.512787358166,0
1,13,2011-05-06,40581.52,39259.17233775513,1322.3476622448652,0
1,13,2011-05-13,35378.71,39792.26896476494,-4413.558964764939,0
1,38,2011-02-04,86132.01,69382.15205079802,16749.857949201978,0
1,38,2011-02-11,70151.05,75289.26135659344,-5138.211356593441,0
1,38,2011-02-18,75224.27,66016.2785240686,9207.991475931398,0
1,38,2011-02-25,66624.1,69510.40560844478,-2886.3056084447744,0
1,38,2011-03-04,89649.84,70325.06840261168,19324.771597388317,0
1,38,2011-03-11,65990.45,71913.00726741171,-5922.557267411714,0
1,38,2011-03-18,69452.49,63710.288923548185,5742.20107645182,0
1,38,2011-03-25,69677.06,67797.58712956039,1879.4728704396111,0
1,38,2011-04-01,74614.02,70477.9931468947,4136.026853105301,0
1,38,2011-04-08,84294.6,67789.26240342598,16505.337596574027,0
1,38,2011-04-15,76028.75,70922.4508649207,5106.299135079302,0
1,38,2011-04-22,66718.84,68812.23698390002,-2093.39698390002,0
1,38,2011-04-29,82034.82,67295.6493252584,14739.170674741603,0
1,38,2011-05-06,87761.73,73478.21395865238,14283.516041347611,0
1,38,2011-05-13,100494.82,71282.15715481731,29212.6628451827,0
1,40,2011-02-04,63996.04,58774.28575165562,5221.754248344383,0
1,40,2011-02-11,67392.25,59334.13070929445,8058.119290705552,0
1,40,2011-02-18,65145.21,60272.146954602904,4873.063045397095,0
1,40,2011-02-25,63509.85,60422.334376665414,3087.5156233345842,0
1,40,2011-03-04,68427.08,59661.511760694826,8765.568239305176,0
1,40,2011-03-11,62499.24,60983.48501574953,1515.7549842504668,0
1,40,2011-03-18,59935.75,61340.73985293408,-1404.989852934079,0
1,40,2011-03-25,61393.06,59255.90196650781,2137.158033492189,0
1,40,2011-04-01,62296.54,59255.90196650781,3040.6380334921923,0
1,40,2011-04-08,61678.44,58842.513920010984,2835.926079989018,0
1,40,2011-04-15,59002.81,58212.92949325905,789.8805067409485,0
1,40,2011-04-22,56157.54,58623.823139200336,-2466.2831392003354,0
1,40,2011-04-29,55277.98,56188.7940627242,-910.8140627241955,0
1,40,2011-05-06,59451.44,56036.057951544535,3415.382048455467,0
1,40,2011-05-13,54974.92,56022.26081646758,-1047.3408164675784,0
1,72,2011-02-04,62891.35,44306.37232594252,18584.97767405748,0
1,72,2011-02-11,71013.56,52313.830617311534,18699.729382688463,0
1,72,2011-02-18,67900.9,56910.380341845404,10990.51965815459,0
1,72,2011-02-25,50577.46,57368.81296979252,-6791.352969792519,0
1,72,2011-03-04,54450.94,56829.12872433291,-2378.188724332911,0
1,72,2011-03-11,43535.72,58414.130195810394,-14878.410195810393,0
1,72,2011-03-18,43128.73,53910.74377712272,-10782.013777122716,0
1,72,2011-03-25,42627.73,49277.21825455331,-6649.488254553304,0
1,72,2011-04-01,36258.07,48894.05589730776,-12635.985897307757,0
1,72,2011-04-08,36512.94,47045.44982638592,-10532.509826385918,0
1,72,2011-04-15,39638.92,41724.8356973966,-2085.915697396602,0
1,72,2011-04-22,41104.42,41829.636728019526,-725.2167280195281,0
1,72,2011-04-29,33941.57,43296.900803830744,-9355.330803830744,0
1,72,2011-05-06,43167.81,41801.132802376436,1366.6771976235614,0
1,72,2011-05-13,41898.67,43453.15867269622,-1554.4886726962213,0
