Store,Dept,mu_demand,sigma_historical,mu_forecast,sigma_residual,n_oof_samples,sigma_reduction_pct,model
1,2,46198.28277310925,3599.618688681478,46198.28277310925,3599.618688681478,0,0.0,Historical Baseline
1,8,35500.78058823529,2445.8619434587476,35500.78058823529,2445.8619434587476,0,0.0,Historical Baseline
1,13,38630.1687394958,2522.4856376761186,38630.1687394958,2522.4856376761186,0,0.0,Historical Baseline
1,38,78910.35327731092,12095.506150142315,78910.35327731092,12095.506150142315,0,0.0,Historical Baseline
1,40,58206.31050420168,4312.366130019231,58206.31050420168,4312.366130019231,0,0.0,Historical Baseline
1,72,46915.56781512605,24302.016433877656,46915.56781512605,24302.016433877656,0,0.0,Historical Baseline
1,90,82560.94899159664,8427.659246418902,82560.94899159664,8427.659246418902,0,0.0,Historical Baseline
1,91,64426.45840336134,6147.907617183285,64426.45840336134,6147.907617183285,0,0.0,Historical Baseline
1,92,135323.5518487395,17223.05138810475,135323.5518487395,17223.05138810475,0,0.0,Historical Baseline
1,95,121067.63117647059,10321.472404849907,121067.63117647059,10321.472404849907,0,0.0,Historical Baseline
2,2,65859.36487394958,5087.603401757657,65859.36487394958,5087.603401757657,0,0.0,Historical Baseline
2,8,58272.883697478996,3755.663576728374,58272.883697478996,3755.663576728374,0,0.0,Historical Baseline
2,13,45804.24596638655,2953.048662485483,45804.24596638655,2953.048662485483,0,0.0,Historical Baseline
2,38,84531.25714285714,9737.308249893094,84531.25714285714,9737.308249893094,0,0.0,Historical Baseline
2,40,77527.2725210084,5176.110337301781,77527.2725210084,5176.110337301781,0,0.0,Historical Baseline
2,72,73277.11957983194,36672.80254076826,73277.11957983194,36672.80254076826,0,0.0,Historical Baseline
2,90,97330.75739495797,9255.774447136242,97330.75739495797,9255.774447136242,0,0.0,Historical Baseline
2,91,80270.69983193277,5518.932276402009,80270.69983193277,5518.932276402009,0,0.0,Historical Baseline
2,92,164150.21495798317,20818.83977681733,164150.21495798317,20818.83977681733,0,0.0,Historical Baseline
