Store,Dept,mu_demand,sigma_historical,mu_forecast,sigma_residual,n_oof_samples,sigma_reduction_pct,model
1,2,46198.28277310925,3599.618688681478,46799.824,2806.0267847893965,79,22.04655471946031,XGBoost
1,8,35500.78058823529,2445.8619434587476,35996.93,1765.2023124180791,79,27.829029061146947,XGBoost
1,13,38630.1687394958,2522.4856376761186,38516.965,2026.554360229888,79,19.660420263209723,XGBoost
1,38,78910.35327731092,12095.506150142315,79130.85,11225.956382005674,79,7.189031672944168,XGBoost
1,40,58206.31050420168,4312.366130019231,59306.906,3386.205017870742,79,21.476866393632466,XGBoost
1,72,46915.56781512605,24302.016433877656,47693.805,15313.054339463952,79,36.98854421760185,XGBoost
1,90,82560.94899159664,8427.659246418902,85796.74,4260.612600097314,79,49.444887654804724,XGBoost
1,91,64426.45840336134,6147.907617183285,67251.164,6147.907617183285,79,0.0,XGBoost
1,92,135323.5518487395,17223.05138810475,147068.6,17223.05138810475,79,0.0,XGBoost
1,95,121067.63117647059,10321.472404849907,124185.82,9898.460723110607,79,4.098365670585258,XGBoost
2,2,65859.36487394958,5087.603401757657,66125.88,3992.3191026491877,79,21.528492152711276,XGBoost
2,8,58272.883697478996,3755.663576728374,58826.043,3748.0997723923056,79,0.2013972812404452,XGBoost
2,13,45804.24596638655,2953.048662485483,45239.023,1942.9851130152708,79,34.204094307747546,XGBoost
2,38,84531.25714285714,9737.308249893094,84943.914,8829.143618157172,79,9.326649710877676,XGBoost
2,40,77527.2725210084,5176.110337301781,77233.91,3713.1620571824005,79,28.263467831753964,XGBoost
2,72,73277.11957983194,36672.80254076826,74627.414,18580.101813879253,79,49.335473357335566,XGBoost
2,90,97330.75739495797,9255.774447136242,98275.11,5456.7774871932725,79,41.04461470664281,XGBoost
2,91,80270.69983193277,5518.932276402009,81156.38,4472.898112984757,79,18.953560417653815,XGBoost
2,92,164150.21495798317,20818.83977681733,172070.98,20818.83977681733,79,0.0,XGBoost
2,95,143430.09638655462,10708.870371096667,151592.53,10708.870371096667,79,0.0,XGBoost
3,2,16775.760168067227,2024.598090633862,17890.28,1444.9264721234965,79,28.631441528668123,XGBoost
3,8,8274.70168067227,742.8235066654648,8325.745,590.6134947603257,79,20.490737105023772,XGBoost
3,13,11313.179915966386,1040.4412539516927,11243.677,794.0660560676309,79,23.679875913061487,XGBoost
3,38,108615.24445378152,17209.470151967605,105445.29,14700.503095221053,79,14.578990721917695,XGBoost
3,40,18043.353361344536,2057.5283850118035,18637.89,1358.9744345725185,79,33.95112094335834,XGBoost
3,72,22616.067731092437,11847.294935936006,25263.605,8756.849135155386,79,26.08566611612305,XGBoost
3,90,1533.2423529411765,285.57184155538187,1738.786,285.57184155538187,79,0.0,XGBoost
3,91,311.09512605042016,145.79674597555407,363.77325,145.79674597555407,79,0.0,XGBoost
3,92,7534.1236134453775,1373.3126967255778,7931.8877,748.429363802256,79,45.50189730374197,XGBoost
3,95,15727.095294117647,3071.8438950516024,16733.803,1575.7030761994279,79,48.7049755771213,XGBoost
4,2,94176.43588235293,7925.592899497294,98685.484,5408.450216603756,79,31.759676718358765,XGBoost
4,8,62929.30285714286,3493.9750433216423,63336.0,3040.872893139611,79,12.968099215479157,XGBoost
4,13,69174.80848739496,4405.642467733585,70411.87,3659.6601697983265,79,16.932429342570277,XGBoost
4,38,80515.73537815126,7833.517764137147,82577.81,6537.923127205838,79,16.539116600497273,XGBoost
4,40,78399.10924369747,5483.462804604692,80982.11,4302.141663027596,79,21.5433419295758,XGBoost
4,72,102107.86176470589,50963.09781044771,104038.484,29608.024757309537,79,41.90301212176366,XGBoost
4,90,89231.1405882353,9247.602082066169,93570.59,5446.910065780486,79,41.09921666781432,XGBoost
4,91,66056.95722689075,5553.671403460672,68652.82,4833.75659804476,79,12.962862818410725,XGBoost
4,92,159117.44529411764,19939.072940163536,171955.97,19939.072940163536,79,0.0,XGBoost
4,95,147772.53957983194,14841.812695205339,161878.98,14841.812695205339,79,0.0,XGBoost
5,2,12372.755966386554,946.4012441351397,12792.056,934.1791575297652,79,1.2914275716684465,XGBoost
5,8,13654.19050420168,963.1631629959102,13852.421,812.0341702469806,79,15.690902492454573,XGBoost
5,13,11243.43579831933,719.2468700997588,11041.281,625.3546395290233,79,13.054242496420276,XGBoost
5,38,55247.93991596638,8226.947685780566,56698.664,8007.416262898681,79,2.668443161019751,XGBoost
5,40,19178.145714285714,1635.4029035371009,19265.912,1322.5362704341378,79,19.13085958367111,XGBoost
5,72,11867.228907563025,11299.232536840706,11739.407,9200.814217871952,79,18.571334930287897,XGBoost
5,90,3119.0499159663864,420.3347442046465,3173.089,420.3347442046465,79,0.0,XGBoost
5,91,1533.8246218487395,246.66444802945932,1526.1844,246.66444802945932,79,0.0,XGBoost
5,92,7808.060336134454,1041.0978550915172,8029.292,694.807642542614,79,33.2620234356801,XGBoost
5,95,19496.96294117647,2043.2860711348783,19901.445,1062.9871234219593,79,47.976588376998194,XGBoost
6,2,50391.806806722685,5624.417985926648,50978.977,3311.8158185126213,79,41.11718178130772,XGBoost
6,8,47703.40310924369,3695.138216270389,48382.066,2448.7558341044296,79,33.73033183651706,XGBoost
6,13,37671.083949579835,2785.372833451423,37128.18,1875.8904149729283,79,32.65208906886383,XGBoost
6,38,77184.35899159664,9285.79181424835,77699.59,7532.7870415784655,79,18.878355316775796,XGBoost
6,40,65638.9712605042,4314.715185178046,67503.86,4314.715185178046,79,0.0,XGBoost
6,72,81294.72336134454,39185.93602534719,80437.87,26003.156789064415,79,33.64160863161613,XGBoost
6,90,53832.47294117647,5809.9572551005485,54950.97,4130.738443957617,79,28.902429698062736,XGBoost
6,91,45307.94546218487,3092.4299978810327,46016.88,2904.6719465344695,79,6.071537641117731,XGBoost
6,92,98912.983697479,13151.194297775279,99462.81,6895.974361391335,79,47.56389263781243,XGBoost
6,95,89168.65546218488,11315.3107400223,89725.38,6027.000022975316,79,46.73588590317902,XGBoost
7,2,22673.74983193277,4138.425558386925,23973.76,2792.8586361153953,79,32.51398154413112,XGBoost
7,8,13801.217142857144,1287.3138683018515,14034.077,1079.2685472704084,79,16.16119628275925,XGBoost
7,13,14968.357815126052,2115.73638609573,15029.658,1281.8105118720255,79,39.415395968237235,XGBoost
7,38,31266.14445378151,4397.583348931103,32222.693,4148.908433584717,79,5.654808462171146,XGBoost
7,40,31436.623529411765,6426.632795344775,32930.75,3624.8164380843964,79,43.59695732561405,XGBoost
7,72,46399.48588235294,25441.58264692261,46298.504,18930.53722295879,79,25.592139900743916,XGBoost
7,90,14331.27100840336,4758.496773842394,16324.894,2503.112273042312,79,47.39699547970697,XGBoost
7,91,10823.499579831932,3453.152639840581,12438.425,1660.917791946538,79,51.90140821509656,XGBoost
7,92,26932.233445378148,5788.211429011823,29127.53,3119.329397174555,79,46.10892439865324,XGBoost
7,95,34726.21663865546,8290.230712267861,37462.406,5926.956141823083,79,28.506740674268695,XGBoost
8,2,35768.36218487395,2790.4659787746164,36600.24,2182.4031781448743,79,21.790726181752696,XGBoost
8,8,26220.213613445376,1778.8884192019295,26655.719,1262.8972145206217,79,29.006383936818214,XGBoost
8,13,25131.97714285714,1411.8992057509793,25171.262,1317.5645730605938,79,6.681399940317235,XGBoost
8,38,59029.41378151261,7767.415666947779,62387.176,6848.506405264199,79,11.830308832238234,XGBoost
8,40,37691.67394957983,3388.9634797723775,37821.863,2174.5520226948784,79,35.834303447821924,XGBoost
8,72,36828.007647058825,19666.309758290743,39343.492,12477.18971515483,79,36.555511082119466,XGBoost
8,90,39267.127983193284,3676.3837266885284,40442.48,1945.8028229223519,79,47.07291274311517,XGBoost
8,91,31352.773781512606,2849.861096530606,31914.037,2286.2427852463024,79,19.77704499248919,XGBoost
8,92,60115.44462184874,7938.939632143471,62204.66,5271.203165224084,79,33.60318368108201,XGBoost
8,95,62931.179159663865,4689.125702187949,65419.93,4350.344885946487,79,7.224818393829513,XGBoost
9,2,25068.466890756303,2285.2291543058427,26378.945,2132.4261229176977,79,6.686551810361452,XGBoost
9,8,21267.620588235295,1673.3965983314504,21881.398,1325.3291245185455,79,20.800058644792518,XGBoost
9,13,22020.463109243698,1371.1136730124188,22181.14,1311.736223547987,79,4.3306000540404455,XGBoost
9,38,79202.03033613446,8747.96715294531,80881.62,8747.96715294531,79,0.0,XGBoost
9,40,29031.793613445378,2176.9535848203673,29490.557,1729.2849342577645,79,20.56399611292321,XGBoost
9,72,32485.926470588234,16577.669089657087,35496.156,11798.095827159246,79,28.831395032971475,XGBoost
9,90,3008.4399159663863,451.4740364299284,3189.7998,451.4740364299284,79,0.0,XGBoost
9,91,890.8701680672269,286.40844714599746,814.2824,286.40844714599746,79,0.0,XGBoost
9,92,14028.474117647058,2896.3797334926808,15301.214,1290.8369429059578,79,55.43274495470365,XGBoost
9,95,29575.38394957983,5220.868341111859,31458.576,2492.3219561252395,79,52.26230976752684,XGBoost
10,2,109714.49546218489,8013.427771977461,108736.37,5596.205539727057,79,30.164647402242817,XGBoost
10,8,86443.48512605042,4116.712917426543,86117.75,3572.4859411760076,79,13.219939965858607,XGBoost
10,13,62386.34924369748,3898.6449936195577,62523.96,3469.9318709363874,79,10.996464755954783,XGBoost
10,38,88432.06647058824,12310.800135366311,91005.25,9192.278873406507,79,25.331588748654564,XGBoost
10,40,99092.97974789915,6596.674087465962,98868.5,3727.6165146540166,79,43.49248628582865,XGBoost
10,72,144164.81831932772,80228.68578391,147871.33,60911.30336527073,79,24.077899606468932,XGBoost
10,90,14145.113865546218,1132.152825075883,14280.339,691.9752769173188,79,38.879693483877595,XGBoost
10,91,12709.825042016806,850.1358646958491,12822.744,817.5946262643649,79,3.8277691581834805,XGBoost
10,92,50257.71907563025,4165.273083244769,51334.16,2987.1150288333743,79,28.28525359239119,XGBoost
10,95,73388.6431092437,8022.1993364202,73701.92,4676.66559556658,79,41.703448151246256,XGBoost
11,2,57180.229663865546,4840.567870352933,59587.574,4407.845930218779,79,8.939487095810584,XGBoost
11,8,34358.46302521008,2710.5629260532146,35096.582,2116.347092812741,79,21.92222978957722,XGBoost
11,13,40961.66747899159,2781.6752375015267,41327.35,2277.1257368177053,79,18.1383323934322,XGBoost
11,38,73377.02613445377,8232.391367279997,73710.96,8232.391367279997,79,0.0,XGBoost
11,40,53276.74226890756,3590.021627570806,54311.05,2587.4581640466436,79,27.926390632987598,XGBoost
11,72,71198.12588235295,28551.334896562093,73310.62,17302.367559420956,79,39.39909422061958,XGBoost
11,90,49091.65605042017,3736.510876513291,50415.008,2588.256863805028,79,30.730648207820856,XGBoost
11,91,41945.88966386555,3623.4035704190223,42888.566,3180.0683250672673,79,12.235326171533423,XGBoost
11,92,76951.72630252101,8578.72936073414,78810.625,5302.5390016384345,79,38.18969245132288,XGBoost
11,95,77396.90983193277,6581.218894029721,79066.984,4616.108827716415,79,29.859363409048633,XGBoost
12,2,74568.75571428571,5142.0282264548705,76762.62,3223.3256612996993,79,37.31411965581537,XGBoost
